Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
62HERCALH,"HERRINGBONE CALACATTA HONED 64X20 
SHEET SIZE: 280x250x7",,,0.0000,0.0000,M2
62HERCARH,"HERRINGBONE CARRARA HONED CHIP SIZE 20X64X7MM 
SHEET SIZE 280X248X7MM 14.4 SHEETS/M2 10PCS/BOX=0.694M2",HERRINGBONE,,0.0000,56.0548,M2
62HERCARH -01,"HERRINGBONE CARRARA HONED CHIP SIZE 20X64X7MM 
SHEET SIZE 280X248X7MM 14.4 SHEETS/M2 10PCS/BOX=0.694M2",HERRINGBONE,,0.0000,0.4200,M2
62HERCARH -02,"HERRINGBONE CARRARA HONED CHIP SIZE 20X64X7MM 
SHEET SIZE 280X248X7MM 14.4 SHEETS/M2 10PCS/BOX=0.694M2",HERRINGBONE,,0.0000,0.0000,M2
62HERCARH -03,HERRINGBONE CARRARA HONED CHIP SIZE 20X64X7MM SHEET SIZE 280X248X7MM 14.4 SHEETS/M2 10PCS/BOX=0.694M2,HERRINGBONE,,50.5000,62.1870,M2
62HERCARH -04,HERRINGBONE CARRARA HONED CHIP SIZE 20X64X7MM SHEET SIZE 280X248X7MM 14.4 SHEETS/M2 10PCS/BOX=0.694M2,HERRINGBONE,,0.0000,87.5000,M2
62HERMINH,"HERRINGBONE MINT HONED 
CHIP SIZE 20X64X7MM
SHEET SIZE 280X248MM
11.26SH/1M2 10SH/BOX",HERRINGBONE,,32.4000,42.9856,M2
62HERMINH -01,"HERRINGBONE MINT HONED MEDIUM 
CHIP SIZE 20X64X10MM SHEET SIZE 280X248MM 11.26SH/1M2 5SH/BOX=0.3472M2",HERRINGBONE,,0.0000,15.3300,M2
62HERMINH -02,"HERRINGBONE MINT HONED LIGHT 
CHIP SIZE 20X64X10MM SHEET SIZE 280X248MM 11.26SH/1M2 5SH/BOX=0.3472M2",HERRINGBONE,,0.0000,19.3000,M2
62HERMINH -03,"HERRINGBONE MINT HONED LIGHT 
CHIP SIZE 20X64X7MM SHEET SIZE 280X248X7MM 11.26SH/1M2 10SH/BOX=0.6944M2",HERRINGBONE,,0.0000,76.3900,M2
